isolate_id	strain	host	date	segment	region	country	division	host_raw_name	outbreak	genbank_title
PQ525413.1	A/Washington/239/2024	Human	10/18/2024	4	North America	United States	Washington	Human	yes	Influenza A virus (A/Washington/239/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds
PQ525420.1	A/Washington/247/2024	Human	10/18/2024	4	North America	United States	Washington	Human	yes	Influenza A virus (A/Washington/247/2024(H5)) segment 4 hemagglutinin (HA) gene, complete cds
PQ591837.1	A/Washington/251/2024	Human	10/24/2024	4	North America	United States	Washington	Human	yes	Influenza A virus (A/Washington/251/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds
PQ591833.1	A/Washington/252/2024	Human	10/24/2024	4	North America	United States	Washington	Human	yes	Influenza A virus (A/Washington/252/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds
PQ591834.1	A/Washington/253/2024	Human	10/24/2024	4	North America	United States	Washington	Human	yes	Influenza A virus (A/Washington/253/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds
PQ585632.1	A/Washington/UW32495/2024	Human	10/18/2024	4	North America	United States	Washington	Human	yes	Influenza A virus (A/Washington/UW32495/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds
PQ615366.1	A/Washington/255/2024	Human	10/29/2024	4	North America	United States	Washington	Human	yes	Influenza A virus (A/Washington/255/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds
PQ885521.1	A/Washington/254/2024-egg	Human	10/23/2024	4	North America	United States	Washington	Human	yes	Influenza A virus (A/Washington/254/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds
PQ824942.1	A/chicken/Washington/W242850087-1/2024_H5N1	Chicken	10/11/2024	4	North America	USA	Washington	Gallus gallus	yes	Influenza A virus (A/chicken/Washington/W242850087-1/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds
PQ825740.1	A/chicken/Washington/W242850087-2/2024_H5N1	Chicken	10/11/2024	4	North America	USA	Washington	Gallus gallus	yes	Influenza A virus (A/chicken/Washington/W242850087-2/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds
PQ663857.1	A/Guineafowl/WA/24-030328-001-original/2024_H5N1	Wild Birds	10/15/2024	4	North America	USA	Washington	Numididae sp.	no	Influenza A virus (A/Guineafowl/WA/24-030328-001-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds
PQ663865.1	A/Guineafowl/WA/24-030328-002-original/2024_H5N1	Wild Birds	10/15/2024	4	North America	USA	Washington	Numididae sp.	no	Influenza A virus (A/Guineafowl/WA/24-030328-002-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds
PQ664425.1	A/chicken/OR/24-030904-001-original/2024_H5N1	Chicken	10/21/2024	4	North America	USA	Oregon	Gallus gallus	no	Influenza A virus (A/chicken/OR/24-030904-001-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds
PQ664433.1	A/chicken/OR/24-030904-002-original/2024_H5N1	Chicken	10/21/2024	4	North America	USA	Oregon	Gallus gallus	no	Influenza A virus (A/chicken/OR/24-030904-002-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds
PQ664457.1	A/chicken/WA/24-031352-001-original/2024_H5N1	Chicken	10/21/2024	4	North America	USA	Washington	Gallus gallus	no	Influenza A virus (A/chicken/WA/24-031352-001-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds
PQ664465.1	A/chicken/WA/24-031352-002-original/2024_H5N1	Chicken	10/21/2024	4	North America	USA	Washington	Gallus gallus	no	Influenza A virus (A/chicken/WA/24-031352-002-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds
PQ664473.1	A/chicken/WA/24-031352-003-original/2024_H5N1	Chicken	10/21/2024	4	North America	USA	Washington	Gallus gallus	no	Influenza A virus (A/chicken/WA/24-031352-003-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds
PQ797953.1	A/chicken/CA/24-032296-001-original/2024_H5N1	Chicken	10/30/2024	4	North America	USA	California	Gallus gallus	no	Influenza A virus (A/chicken/CA/24-032296-001-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds
PQ797961.1	A/chicken/CA/24-032296-002-original/2024_H5N1	Chicken	10/30/2024	4	North America	USA	California	Gallus gallus	no	Influenza A virus (A/chicken/CA/24-032296-002-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds
PQ797969.1	A/chicken/MT/24-032160-001-original/2024_H5N1	Chicken	10/24/2024	4	North America	USA	Montana	Gallus gallus	no	Influenza A virus (A/chicken/MT/24-032160-001-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds
PQ797977.1	A/chicken/MT/24-032160-002-original/2024_H5N1	Chicken	10/24/2024	4	North America	USA	Montana	Gallus gallus	no	Influenza A virus (A/chicken/MT/24-032160-002-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds
PQ797985.1	A/chicken/MT/24-032160-003-original/2024_H5N1	Chicken	10/24/2024	4	North America	USA	Montana	Gallus gallus	no	Influenza A virus (A/chicken/MT/24-032160-003-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds
PQ797993.1	A/chicken/MT/24-032160-004-original/2024_H5N1	Chicken	10/24/2024	4	North America	USA	Montana	Gallus gallus	no	Influenza A virus (A/chicken/MT/24-032160-004-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds
PQ798001.1	A/chicken/WA/24-032191-001-original/2024_H5N1	Chicken	10/30/2024	4	North America	USA	Washington	Gallus gallus	no	Influenza A virus (A/chicken/WA/24-032191-001-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds
